Year,County Id,County Name,Type,Count
2017,1,SILVER BOW,"Horses, Mules and Asses",452.0
2017,2,CASCADE,"Horses, Mules and Asses",2008.0
2017,3,YELLOWSTONE,"Horses, Mules and Asses",2547.0
2017,4,MISSOULA,"Horses, Mules and Asses",1361.0
2017,5,LEWIS AND CLARK,"Horses, Mules and Asses",1952.0
2017,6,GALLATIN,"Horses, Mules and Asses",3448.0
2017,7,FLATHEAD,"Horses, Mules and Asses",2335.0
2017,8,FERGUS,"Horses, Mules and Asses",1705.0
2017,9,POWDER RIVER,"Horses, Mules and Asses",1358.0
2017,10,CARBON,"Horses, Mules and Asses",1262.0
2017,11,PHILLIPS,"Horses, Mules and Asses",925.0
2017,12,HILL,"Horses, Mules and Asses",724.0
2017,13,RAVALLI,"Horses, Mules and Asses",2977.0
2017,14,CUSTER,"Horses, Mules and Asses",971.0
2017,15,LAKE,"Horses, Mules and Asses",1714.0
2017,16,DAWSON,"Horses, Mules and Asses",785.0
2017,17,ROOSEVELT,"Horses, Mules and Asses",358.0
2017,18,BEAVERHEAD,"Horses, Mules and Asses",1357.0
2017,19,CHOUTEAU,"Horses, Mules and Asses",1057.0
2017,20,VALLEY,"Horses, Mules and Asses",684.0
2017,21,TOOLE,"Horses, Mules and Asses",549.0
2017,22,BIG HORN,"Horses, Mules and Asses",1316.0
2017,23,MUSSELSHELL,"Horses, Mules and Asses",912.0
2017,24,BLAINE,"Horses, Mules and Asses",725.0
2017,25,MADISON,"Horses, Mules and Asses",1888.0
2017,26,PONDERA,"Horses, Mules and Asses",600.0
2017,27,RICHLAND,"Horses, Mules and Asses",459.0
2017,28,POWELL,"Horses, Mules and Asses",1010.0
2017,29,ROSEBUD,"Horses, Mules and Asses",1114.0
2017,30,DEER LODGE,"Horses, Mules and Asses",245.0
2017,31,TETON,"Horses, Mules and Asses",1415.0
2017,32,STILLWATER,"Horses, Mules and Asses",1242.0
2017,33,TREASURE,"Horses, Mules and Asses",283.0
2017,34,SHERIDAN,"Horses, Mules and Asses",311.0
2017,35,SANDERS,"Horses, Mules and Asses",687.0
2017,36,JUDITH BASIN,"Horses, Mules and Asses",700.0
2017,37,DANIELS,"Horses, Mules and Asses",319.0
2017,38,GLACIER,"Horses, Mules and Asses",385.0
2017,39,FALLON,"Horses, Mules and Asses",657.0
2017,40,SWEET GRASS,"Horses, Mules and Asses",1171.0
2017,41,MCCONE,"Horses, Mules and Asses",846.0
2017,42,CARTER,"Horses, Mules and Asses",943.0
2017,43,BROADWATER,"Horses, Mules and Asses",686.0
2017,44,WHEATLAND,"Horses, Mules and Asses",487.0
2017,45,PRAIRIE,"Horses, Mules and Asses",374.0
2017,46,GRANITE,"Horses, Mules and Asses",592.0
2017,47,MEAGHER,"Horses, Mules and Asses",495.0
2017,48,LIBERTY,"Horses, Mules and Asses",161.0
2017,49,PARK,"Horses, Mules and Asses",2542.0
2017,50,GARFIELD,"Horses, Mules and Asses",1125.0
2017,51,JEFFERSON,"Horses, Mules and Asses",1087.0
2017,52,WIBAUX,"Horses, Mules and Asses",433.0
2017,53,GOLDEN VALLEY,"Horses, Mules and Asses",363.0
2017,54,MINERAL,"Horses, Mules and Asses",286.0
2017,55,PETROLEUM,"Horses, Mules and Asses",227.0
2017,56,LINCOLN,"Horses, Mules and Asses",917.0
2017,1,SILVER BOW,Cattle,3476.0
2017,2,CASCADE,Cattle,43202.0
2017,3,YELLOWSTONE,Cattle,56591.0
2017,4,MISSOULA,Cattle,4077.0
2017,5,LEWIS AND CLARK,Cattle,23756.0
2017,6,GALLATIN,Cattle,25742.0
2017,7,FLATHEAD,Cattle,4931.0
2017,8,FERGUS,Cattle,91363.0
2017,9,POWDER RIVER,Cattle,68485.0
2017,10,CARBON,Cattle,28303.0
2017,11,PHILLIPS,Cattle,71087.0
2017,12,HILL,Cattle,18278.0
2017,13,RAVALLI,Cattle,17080.0
2017,14,CUSTER,Cattle,66190.0
2017,15,LAKE,Cattle,20361.0
2017,16,DAWSON,Cattle,38411.0
2017,17,ROOSEVELT,Cattle,17501.0
2017,18,BEAVERHEAD,Cattle,111348.0
2017,19,CHOUTEAU,Cattle,40253.0
2017,20,VALLEY,Cattle,62190.0
2017,21,TOOLE,Cattle,15678.0
2017,22,BIG HORN,Cattle,62992.0
2017,23,MUSSELSHELL,Cattle,26683.0
2017,24,BLAINE,Cattle,61706.0
2017,25,MADISON,Cattle,53569.0
2017,26,PONDERA,Cattle,18838.0
2017,27,RICHLAND,Cattle,36432.0
2017,28,POWELL,Cattle,30155.0
2017,29,ROSEBUD,Cattle,65944.0
2017,30,DEER LODGE,Cattle,3807.0
2017,31,TETON,Cattle,43062.0
2017,32,STILLWATER,Cattle,31057.0
2017,33,TREASURE,Cattle,20486.0
2017,34,SHERIDAN,Cattle,17756.0
2017,35,SANDERS,Cattle,8037.0
2017,36,JUDITH BASIN,Cattle,56910.0
2017,37,DANIELS,Cattle,13332.0
2017,38,GLACIER,Cattle,13263.0
2017,39,FALLON,Cattle,39166.0
2017,40,SWEET GRASS,Cattle,30211.0
2017,41,MCCONE,Cattle,32254.0
2017,42,CARTER,Cattle,64736.0
2017,43,BROADWATER,Cattle,16601.0
2017,44,WHEATLAND,Cattle,32902.0
2017,45,PRAIRIE,Cattle,35469.0
2017,46,GRANITE,Cattle,15164.0
2017,47,MEAGHER,Cattle,40049.0
2017,48,LIBERTY,Cattle,10936.0
2017,49,PARK,Cattle,25456.0
2017,50,GARFIELD,Cattle,63664.0
2017,51,JEFFERSON,Cattle,21983.0
2017,52,WIBAUX,Cattle,19656.0
2017,53,GOLDEN VALLEY,Cattle,14633.0
2017,54,MINERAL,Cattle,326.0
2017,55,PETROLEUM,Cattle,23539.0
2017,56,LINCOLN,Cattle,1918.0
2017,1,SILVER BOW,Domestic Bison,0.0
2017,2,CASCADE,Domestic Bison,0.0
2017,3,YELLOWSTONE,Domestic Bison,89.0
2017,4,MISSOULA,Domestic Bison,12.0
2017,5,LEWIS AND CLARK,Domestic Bison,90.0
2017,6,GALLATIN,Domestic Bison,1481.0
2017,7,FLATHEAD,Domestic Bison,200.0
2017,8,FERGUS,Domestic Bison,26.0
2017,9,POWDER RIVER,Domestic Bison,8.0
2017,10,CARBON,Domestic Bison,5.0
2017,11,PHILLIPS,Domestic Bison,590.0
2017,12,HILL,Domestic Bison,0.0
2017,13,RAVALLI,Domestic Bison,291.0
2017,14,CUSTER,Domestic Bison,0.0
2017,15,LAKE,Domestic Bison,0.0
2017,16,DAWSON,Domestic Bison,0.0
2017,17,ROOSEVELT,Domestic Bison,15.0
2017,18,BEAVERHEAD,Domestic Bison,258.0
2017,19,CHOUTEAU,Domestic Bison,10.0
2017,20,VALLEY,Domestic Bison,0.0
2017,21,TOOLE,Domestic Bison,0.0
2017,22,BIG HORN,Domestic Bison,0.0
2017,23,MUSSELSHELL,Domestic Bison,0.0
2017,24,BLAINE,Domestic Bison,18.0
2017,25,MADISON,Domestic Bison,2435.0
2017,26,PONDERA,Domestic Bison,1.0
2017,27,RICHLAND,Domestic Bison,0.0
2017,28,POWELL,Domestic Bison,108.0
2017,29,ROSEBUD,Domestic Bison,20.0
2017,30,DEER LODGE,Domestic Bison,0.0
2017,31,TETON,Domestic Bison,730.0
2017,32,STILLWATER,Domestic Bison,132.0
2017,33,TREASURE,Domestic Bison,0.0
2017,34,SHERIDAN,Domestic Bison,0.0
2017,35,SANDERS,Domestic Bison,120.0
2017,36,JUDITH BASIN,Domestic Bison,1.0
2017,37,DANIELS,Domestic Bison,0.0
2017,38,GLACIER,Domestic Bison,66.0
2017,39,FALLON,Domestic Bison,0.0
2017,40,SWEET GRASS,Domestic Bison,100.0
2017,41,MCCONE,Domestic Bison,0.0
2017,42,CARTER,Domestic Bison,69.0
2017,43,BROADWATER,Domestic Bison,34.0
2017,44,WHEATLAND,Domestic Bison,1.0
2017,45,PRAIRIE,Domestic Bison,0.0
